,순번,영화명,감독,개봉일,국적,전국관객수,장르,등급
14488,104,조커,토드 필립스,2019-10-02,미국,5255228,액션,15세이상관람가
14489,102,완벽한 타인,이재규,2018-10-31,한국,5294119,드라마,15세이상관람가
14490,101,트랜스포머: 사라진 시대,마이클 베이,2014-06-25,미국,5295801,액션,12세이상관람가
14491,100,완득이,이한,2011-10-20,한국,5310510,드라마,12세이상관람가
14492,99,더 킹,한재림,2017-01-18,한국,5316325,범죄,15세이상관람가
14493,98,블랙 팬서,라이언 쿠글러,2018-02-14,미국,5398994,액션,12세이상관람가
14494,97,안시성,김광식,2018-09-19,한국,5440186,사극,12세이상관람가
14495,96,검은 사제들,장재현,2015-11-05,한국,5440945,미스터리,15세이상관람가
14496,95,닥터 스트레인지,스콧 데릭슨,2016-10-26,미국,5446379,액션,12세이상관람가
14497,94,앤트맨과 와스프,페이튼 리드,2018-07-04,미국,5447826,액션,12세이상관람가
14498,92,감시자들,"조의석,김병서",2013-07-03,한국,5496547,범죄,15세이상관람가
14499,91,의형제,장훈,2010-02-04,한국,5507106,드라마,15세이상관람가
14500,90,쥬라기 월드,콜린 트레보로우,2015-06-11,미국,5546792,액션,12세이상관람가
14501,89,더 테러 라이브,김병우,2013-07-31,한국,5583596,범죄,15세이상관람가
14502,88,덕혜옹주,허진호,2016-08-03,한국,5593551,사극,12세이상관람가
14503,87,숨바꼭질,허정,2013-08-14,한국,5602543,스릴러,15세이상관람가
14504,85,청년경찰,김주환,2017-08-09,한국,5636259,액션,15세이상관람가
14505,84,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,2018-06-06,미국,5661128,액션,12세이상관람가
14506,82,캡틴 마블,"애너 보든,라이언 플렉",2019-03-06,미국,5801069,액션,12세이상관람가
14507,81,레미제라블,톰 후퍼,2012-12-19,미국,5911890,드라마,12세이상관람가
14508,80,인셉션,크리스토퍼 놀란,2010-07-21,미국,5926948,드라마,12세이상관람가
14509,78,연평해전,김학순,2015-06-24,한국,6043458,드라마,12세이상관람가
14510,76,킹스맨 : 시크릿 에이전트,매튜 본,2015-02-11,미국,6125154,액션,청소년관람불가
14511,75,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,2015-07-30,미국,6126488,액션,15세이상관람가
14512,73,사도,이준익,2015-09-16,한국,6246849,사극,12세이상관람가
14513,72,아저씨,이정범,2010-08-04,한국,6282774,액션,청소년관람불가
14514,71,다크 나이트 라이즈,크리스토퍼 놀란,2012-07-19,미국,6396528,액션,15세이상관람가
14515,70,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,2018-07-25,미국,6584915,액션,15세이상관람가
14516,69,군함도,류승완,2017-07-26,한국,6592151,액션,15세이상관람가
14517,67,늑대소년,조성희,2012-10-31,한국,6654837,멜로/로맨스,15세이상관람가
14518,64,범죄도시,강윤성,2017-10-03,한국,6851297,범죄,청소년관람불가
14519,63,곡성,나홍진,2016-05-12,한국,6878264,미스터리,15세이상관람가
14520,62,은밀하게 위대하게,장철수,2013-06-05,한국,6953800,액션,15세이상관람가
14521,61,럭키,이계벽,2016-10-13,한국,6965706,코미디,15세이상관람가
14522,60,인천상륙작전,이재한,2016-07-27,한국,7049643,전쟁,12세이상관람가
14523,59,내부자들,우민호,2015-11-19,한국,7071763,범죄,청소년관람불가
14524,58,어벤져스,조스 웨던,2012-04-26,미국,7074867,액션,12세이상관람가
14525,57,터널,김성훈,2016-08-10,한국,7118592,드라마,12세이상관람가
14526,56,마스터,조의석,2016-12-21,한국,7150541,액션,15세이상관람가
14527,55,베를린,류승완,2013-01-30,한국,7166199,액션,15세이상관람가
14528,54,1987,장준환,2017-12-27,한국,7231638,드라마,15세이상관람가
14529,53,스파이더맨: 홈 커밍,존 왓츠,2017-07-05,미국,7257973,액션,12세이상관람가
14530,51,써니,강형철,2011-05-04,한국,7328820,드라마,15세이상관람가
14531,49,최종병기 활,김한민,2011-08-10,한국,7466976,사극,15세이상관람가
14532,48,밀정,김지운,2016-09-07,한국,7487545,액션,15세이상관람가
14533,46,미션임파서블:고스트프로토콜,브래드 버드,2011-12-15,미국,7575899,액션,15세이상관람가
14534,45,히말라야,이석훈,2015-12-16,한국,7759473,드라마,12세이상관람가
14535,44,트랜스포머 3,마이클 베이,2011-06-29,미국,7784807,액션,12세이상관람가
14536,43,공조,김성훈,2017-01-18,한국,7817446,액션,15세이상관람가
14537,41,스파이더맨: 파 프롬 홈,존 왓츠,2019-07-02,미국,8020208,액션,12세이상관람가
14538,39,백두산,"이해준,김병서",2019-12-19,한국,8252669,어드벤처,12세이상관람가
14539,36,해적: 바다로 간 산적,이석훈,2014-08-06,한국,8646758,어드벤처,12세이상관람가
14540,35,수상한 그녀,황동혁,2014-01-22,한국,8656397,드라마,15세이상관람가
14541,34,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",2016-04-27,미국,8677249,액션,12세이상관람가
14542,33,설국열차,봉준호,2013-08-01,한국,8914845,SF,15세이상관람가
14543,32,아이언맨 3,쉐인 블랙,2013-04-25,미국,9001309,액션,12세이상관람가
14544,31,관상,한재림,2013-09-11,한국,9134586,사극,15세이상관람가
14545,30,엑시트,이상근,2019-07-31,한국,9426051,코미디,12세이상관람가
14546,29,검사외전,이일형,2016-02-03,한국,9699092,범죄,15세이상관람가
14547,28,보헤미안 랩소디,브라이언 싱어,2018-10-31,미국,9948386,드라마,12세이상관람가
14548,27,인터스텔라,크리스토퍼 놀란,2014-11-06,미국,10273803,SF,12세이상관람가
14549,26,겨울왕국,"크리스 벅,제니퍼 리",2014-01-16,미국,10296101,애니메이션,전체관람가
14550,25,기생충,봉준호,2019-05-30,한국,10313086,드라마,15세이상관람가
14551,24,어벤져스: 에이지 오브 울트론,조스 웨던,2015-04-23,미국,10494499,액션,12세이상관람가
14552,22,어벤져스: 인피니티 워,"안소니 루소,조 루소",2018-04-25,미국,11211880,액션,12세이상관람가
14553,21,변호인,양우석,2013-12-18,한국,11372451,드라마,15세이상관람가
14554,19,부산행,연상호,2016-07-20,한국,11565078,액션,15세이상관람가
14555,17,택시운전사,장훈,2017-08-02,한국,12099971,드라마,15세이상관람가
14556,16,신과함께-인과 연,김용화,2018-08-01,한국,12253247,판타지,12세이상관람가
14557,14,"광해, 왕이 된 남자",추창민,2012-09-13,한국,12319542,사극,15세이상관람가
14558,13,알라딘,가이 리치,2019-05-23,미국,12555894,어드벤처,전체관람가
14559,12,암살,최동훈,2015-07-22,한국,12705700,액션,15세이상관람가
14560,11,7번방의 선물,이환경,2013-01-23,한국,12811206,코미디,15세이상관람가
14561,10,도둑들,최동훈,2012-07-25,한국,12983330,액션,15세이상관람가
14562,8,베테랑,류승완,2015-08-05,한국,13395400,액션,15세이상관람가
14563,6,겨울왕국 2,"크리스 벅,제니퍼 리",2019-11-21,미국,13747792,애니메이션,전체관람가
14564,5,어벤져스: 엔드게임,"안소니 루소,조 루소",2019-04-24,미국,13934592,액션,12세이상관람가
14565,4,국제시장,윤제균,2014-12-17,한국,14245998,드라마,12세이상관람가
14566,3,신과함께-죄와 벌,김용화,2017-12-20,한국,14410754,판타지,12세이상관람가
14567,2,극한직업,이병헌,2019-01-23,한국,16264944,코미디,15세이상관람가
14568,1,명량,김한민,2014-07-30,한국,17613682,사극,15세이상관람가
