,순번,영화명,감독,개봉일,국적,전국관객수,장르,등급
14270,440,천문: 하늘에 묻는다,허진호,2019-12-26,한국,2000490,사극,12세이상관람가
14271,438,페르시아의 왕자: 시간의 모래,마이크 뉴웰,2010-05-27,미국,2003533,액션,12세이상관람가
14272,436,레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,2016-01-14,미국,2007180,어드벤처,15세이상관람가
14273,434,노아,대런 아로노프스키,2014-03-20,미국,2026574,어드벤처,15세이상관람가
14274,433,봉이 김선달,박대민,2016-07-06,한국,2044564,사극,12세이상관람가
14275,431,소울,피트 닥터,2021-01-20,미국,2047887,애니메이션,전체관람가
14276,429,혹성탈출: 종의 전쟁,맷 리브스,2017-08-15,미국,2050909,액션,12세이상관람가
14277,427,뷰티 인사이드,백,2015-08-20,한국,2053947,판타지,12세이상관람가
14278,424,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,2021-01-27,일본,2069836,애니메이션,15세이상관람가
14279,423,로건,제임스 맨골드,2017-03-01,미국,2070084,액션,청소년관람불가
14280,422,인투 더 스톰,스티븐 쿼일,2014-08-28,미국,2078492,액션,12세이상관람가
14281,421,장화신은 고양이,크리스 밀러,2012-01-12,미국,2080154,애니메이션,전체관람가
14282,420,쩨쩨한 로맨스,김정훈,2010-12-01,한국,2080574,코미디,청소년관람불가
14283,419,내부자들: 디 오리지널,우민호,2015-12-31,한국,2083999,범죄,청소년관람불가
14284,418,논스톱,자움 콜렛 세라,2014-02-27,미국,2084457,액션,15세이상관람가
14285,417,명당,박희곤,2018-09-19,한국,2087474,사극,12세이상관람가
14286,415,몽타주,정근섭,2013-05-16,한국,2095375,스릴러,15세이상관람가
14287,412,이클립스,데이빗 슬레이드,2010-07-07,미국,2105050,판타지,12세이상관람가
14288,411,굿바이 싱글,김태곤,2016-06-29,한국,2108273,코미디,15세이상관람가
14289,407,나의 사랑 나의 신부,임찬상,2014-10-08,한국,2135614,멜로/로맨스,15세이상관람가
14290,406,겟 아웃,조던 필,2017-05-17,미국,2138146,공포(호러),15세이상관람가
14291,405,마이 웨이,강제규,2011-12-21,한국,2142622,전쟁,15세이상관람가
14292,404,신의 한 수: 귀수편,리건,2019-11-07,한국,2146764,범죄,15세이상관람가
14293,402,초능력자,김민석,2010-11-10,한국,2164805,SF,15세이상관람가
